api,status,primary_category,runner_category,checkpoint_attempts,provider_error_attempts,provider_internal_retries,doc_rounds_used,repair_status,source,error,category_reason
inv_transform_paa,pass,pass,,1,0,,,,tslearn/tslearn/metrics/cysax.py:11,,
inv_transform_sax,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/metrics/cysax.py:78,,
inverse_transform,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/piecewise/piecewise.py:242,,
is_array,pass,pass,,1,0,,,,tslearn/tslearn/backend/numpy_backend.py:102,,
is_float,fail,unknown,runtime,1,0,,2,still-failing (no-improvement stop),tslearn/tslearn/backend/numpy_backend.py:106,AssertionError: Expected the backend to identify the float array X as a float type.,"Observed runtime; doc attribution requires source, document, and snippet review."
is_float32,fail,unknown,runtime,1,0,,2,still-failing (no-improvement stop),tslearn/tslearn/backend/numpy_backend.py:110,AssertionError: Expected True for float32 array,"Observed runtime; doc attribution requires source, document, and snippet review."
is_float64,fail,unknown,runtime,1,0,,2,still-failing (no-improvement stop),tslearn/tslearn/backend/numpy_backend.py:114,AssertionError: Failed to identify float64 array.,"Observed runtime; doc attribution requires source, document, and snippet review."
is_numpy,pass,pass,,1,0,,,,tslearn/tslearn/backend/backend.py:77,,
is_pytorch,pass,pass,,1,0,,,,tslearn/tslearn/backend/backend.py:81,,
iscomplex,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/backend/pytorch_backend.py:153,,
itakura_mask,pass,pass,,1,0,,,,tslearn/tslearn/metrics/_masks.py:154,,
jacobian_product,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/metrics/softdtw_variants.py:1218,,
kneighbors,pass,pass,,1,0,,,,tslearn/tslearn/neighbors/neighbors.py:101,,
lb_envelope,pass,pass,,1,0,,,,tslearn/tslearn/metrics/dtw_variants.py:2170,,
lb_keogh,pass,pass,,1,0,,,,tslearn/tslearn/metrics/dtw_variants.py:2008,,
lcss,pass,pass,,1,0,,,,tslearn/tslearn/metrics/dtw_variants.py:2383,,
lcss_accumulated_matrix,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/metrics/dtw_variants.py:2270,,
lcss_accumulated_matrix_from_dist_matrix,pass,pass,,1,0,,,,tslearn/tslearn/metrics/dtw_variants.py:2865,,
lcss_path,pass,pass,,1,0,,,,tslearn/tslearn/metrics/dtw_variants.py:2697,,
lcss_path_from_metric,pass,pass,,1,0,,,,tslearn/tslearn/metrics/dtw_variants.py:2908,,
list_cached_datasets,pass,pass,,1,0,,,,tslearn/tslearn/datasets/ucr_uea.py:236,,
list_datasets,pass,pass,,1,0,,,,tslearn/tslearn/datasets/cached.py:26,,
list_multivariate_datasets,pass,pass,,1,0,,,,tslearn/tslearn/datasets/ucr_uea.py:194,,
list_univariate_datasets,pass,pass,,1,0,,,,tslearn/tslearn/datasets/ucr_uea.py:174,,
load_dataset,pass,pass,,1,0,,,,tslearn/tslearn/datasets/cached.py:45,,
load_dict,pass,pass,,1,0,,,,tslearn/tslearn/hdftools/hdftools.py:118,,
load_time_series_txt,pass,pass,,1,0,,,,tslearn/tslearn/utils/utils.py:393,,
locate,fail,test/scaffold,infra,1,0,,1,not-testable (entry unchanged),tslearn/tslearn/shapelets/shapelets.py:625,missing module/import: No module named 'keras',Runner classified this as infrastructure.
mae,pass,pass,,1,0,,,,tslearn/tslearn/metrics/performance.py:12,,
mase,pass,pass,,1,0,,,,tslearn/tslearn/metrics/performance.py:153,,
mse,pass,pass,,1,0,,,,tslearn/tslearn/metrics/performance.py:83,,
n_iter_,pass,pass,,1,0,,,,tslearn/tslearn/svm/svm.py:279,,
ndim,pass,pass,,1,0,,,,tslearn/tslearn/backend/numpy_backend.py:118,,
njit_accumulated_matrix,pass,pass,,1,0,,,,tslearn/tslearn/metrics/dtw_variants.py:74,,
njit_accumulated_matrix_from_dist_matrix,pass,pass,,1,0,,,,tslearn/tslearn/metrics/dtw_variants.py:426,,
njit_lcss_accumulated_matrix,pass,pass,,1,0,,,,tslearn/tslearn/metrics/dtw_variants.py:2233,,
njit_lcss_accumulated_matrix_from_dist_matrix,pass,pass,,1,0,,,,tslearn/tslearn/metrics/dtw_variants.py:2831,,
njit_sakoe_chiba_mask,pass,pass,,1,0,,,,tslearn/tslearn/metrics/dtw_variants.py:1487,,
normal,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/backend/pytorch_backend.py:250,,
normalized_cc,pass,pass,,1,0,,,,tslearn/tslearn/metrics/cycc.py:10,,
pairwise_distances,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/backend/pytorch_backend.py:177,,
partial_fit,pass,pass,,1,0,,,,tslearn/tslearn/neural_network/neural_network.py:62,,
pdist,pass,pass,,1,0,,,,tslearn/tslearn/backend/pytorch_backend.py:193,,
predict,pass,pass,,1,0,,,,tslearn/tslearn/forecasting/_arima.py:351,,
predict_class_and_earliness,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/early_classification/early_classification.py:399,,
predict_log_proba,pass,pass,,1,0,,,,tslearn/tslearn/svm/svm.py:370,,
predict_proba,pass,pass,,1,0,,,,tslearn/tslearn/early_classification/early_classification.py:491,,
predict_proba_and_earliness,pass,pass,,1,0,,,,tslearn/tslearn/early_classification/early_classification.py:453,,
random_walk_blobs,pass,pass,,1,0,,,,tslearn/tslearn/generators/generators.py:57,,
random_walks,pass,pass,,1,0,,,,tslearn/tslearn/generators/generators.py:7,,
sakoe_chiba_mask,pass,pass,,1,0,,,,tslearn/tslearn/metrics/_masks.py:42,,
save_dict,pass,pass,,1,0,,,,tslearn/tslearn/hdftools/hdftools.py:8,,
save_time_series_txt,pass,pass,,1,0,,,,tslearn/tslearn/utils/utils.py:364,,
select_backend,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/backend/backend.py:31,,
set_backend,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/backend/backend.py:87,,
set_weights,fail,test/scaffold,infra,1,0,,1,not-testable (entry unchanged),tslearn/tslearn/shapelets/shapelets.py:866,missing module/import: No module named 'keras',Runner classified this as infrastructure.
shape,pass,pass,,1,0,,,,tslearn/tslearn/backend/pytorch_backend.py:202,,
shapelets_,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/shapelets/shapelets.py:441,,
shapelets_as_time_series_,fail,test/scaffold,infra,1,0,,,,tslearn/tslearn/shapelets/shapelets.py:455,missing module/import: No module named 'keras',Runner classified this as infrastructure.
sigma_gak,pass,pass,,1,0,,,,tslearn/tslearn/metrics/_gak.py:20,,
silhouette_score,pass,pass,,1,0,,,,tslearn/tslearn/clustering/utils.py:70,,
soft_dtw,pass,pass,,1,0,,,,tslearn/tslearn/metrics/softdtw_variants.py:530,,
soft_dtw_alignment,pass,pass,,1,0,,,,tslearn/tslearn/metrics/softdtw_variants.py:641,,
softdtw_barycenter,pass,pass,,1,0,,,,tslearn/tslearn/barycenters/softdtw.py:38,,
sqrt,pass,pass,,1,0,,,,tslearn/tslearn/backend/pytorch_backend.py:207,,
str_to_time_series,pass,pass,,1,0,,,,tslearn/tslearn/utils/utils.py:326,,
subsequence_cost_matrix,pass,pass,,1,0,,,,tslearn/tslearn/metrics/dtw_variants.py:1236,,
subsequence_path,pass,pass,,1,0,,,,tslearn/tslearn/metrics/dtw_variants.py:1367,,
support_,pass,pass,,1,0,,,,tslearn/tslearn/svm/svm.py:24,,
support_vectors_,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/svm/svm.py:285,,
time_series_to_str,pass,pass,,1,0,,,,tslearn/tslearn/utils/utils.py:289,,
to_cesium_dataset,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/utils/cast.py:655,,
to_hdf5,pass,pass,,1,0,,,,tslearn/tslearn/bases/bases.py:210,,
to_json,pass,pass,,1,0,,,,tslearn/tslearn/bases/bases.py:259,,
to_numpy,pass,pass,,1,0,,,,tslearn/tslearn/backend/numpy_backend.py:122,,
to_pickle,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/bases/bases.py:307,,
to_pyflux_dataset,pass,pass,,1,0,,,,tslearn/tslearn/utils/cast.py:409,,
to_pyts_dataset,pass,pass,,1,0,,,,tslearn/tslearn/utils/cast.py:64,,
to_seglearn_dataset,pass,pass,,1,0,,,,tslearn/tslearn/utils/cast.py:141,,
to_sklearn_dataset,pass,pass,,1,0,,,,tslearn/tslearn/utils/cast.py:21,,
to_sktime_dataset,pass,pass,,1,0,,,,tslearn/tslearn/utils/cast.py:288,,
to_stumpy_dataset,pass,pass,,1,0,,,,tslearn/tslearn/utils/cast.py:214,,
to_time_series,pass,pass,,1,0,,,,tslearn/tslearn/utils/utils.py:154,,
to_time_series_dataset,pass,pass,,1,0,,,,tslearn/tslearn/utils/utils.py:215,,
to_tsfresh_dataset,pass,pass,,1,0,,,,tslearn/tslearn/utils/cast.py:527,,
transform,pass,pass,,1,0,,,,tslearn/tslearn/preprocessing/_synchronizer.py:78,,
tril,pass,pass,,1,0,,,,tslearn/tslearn/backend/pytorch_backend.py:217,,
tril_indices,pass,pass,,1,0,,,,tslearn/tslearn/backend/pytorch_backend.py:221,,
triu,pass,pass,,1,0,,,,tslearn/tslearn/backend/pytorch_backend.py:228,,
triu_indices,pass,pass,,1,0,,,,tslearn/tslearn/backend/pytorch_backend.py:232,,
ts_size,pass,pass,,1,0,,,,tslearn/tslearn/utils/utils.py:465,,
ts_zeros,pass,pass,,1,0,,,,tslearn/tslearn/utils/utils.py:521,,
uniform,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/backend/pytorch_backend.py:256,,
unnormalized_gak,pass,pass,,1,0,,,,tslearn/tslearn/metrics/_gak.py:178,,
y_shifted_sbd_vec,pass,pass,,1,0,,,,tslearn/tslearn/metrics/cycc.py:99,,
